Season,Latitude,DELTA_crossing,area_albedo_cloud,area_albedo_cloud_check,area_albedo,Carbon_eq,Carbon_eq_cloud
3,47,0.4684373767435286,522400.02231817844,10936.017040029168,872319.844072585,0.001885602785023366,0.001885602785023366
3,48,0.3685496755365332,531112.9521195512,130604.02656970918,878601.0471984504,0.001885602785023366,0.001885602785023366
3,49,0.05578144421240516,553294.4837215941,490475.8311907053,885181.5112630324,0.002074163063525703,0.002074163063525703
3,50,-0.23176664730483942,543306.9819835379,821412.8211702686,892057.7840044016,0.001885602785023366,0.001885602785023366
3,51,-0.4394902292296834,532167.88322113,1053545.8931889422,899226.0002183614,0.001885602785023366,0.001885602785023366
3,52,-0.5201148145008574,530252.5239600827,1143631.6900312211,906681.8354625312,0.001885602785023366,0.001885602785023366
3,53,-0.5783748708017544,529878.5542232683,1207910.5766640995,914420.4551048017,0.001885602785023366,0.001885602785023366
3,54,-0.600358345776181,530782.660934824,1228604.7626682855,922436.4582094443,0.001885602785023366,0.001885602785023366
3,55,-0.4537478783488549,542984.2061505157,1065602.7094643824,930723.8156899996,0.001885602785023366,0.001885602785023366
3,56,-0.37268283006299363,547795.1730435516,963792.9803862348,939275.8020844624,0.001885602785023366,0.001885602785023366
3,57,-0.22154010498861787,558113.4855056106,799004.8618084937,948084.9202240724,0.002074163063525703,0.002074163063525703
3,58,-0.07090629907887624,566441.9773161528,644947.5043792296,957142.8179701798,0.002074163063525703,0.002074163063525703
3,59,0.0986416859726944,563814.7756690958,476099.9861628376,966440.1960823972,0.002074163063525703,0.002074163063525703
3,60,0.21035652751834455,555891.3061383364,376902.8831649311,975966.706152488,0.002074163063525703,0.002074163063525703
3,61,0.33985933276521685,543734.7553140521,265541.4187292289,985710.8373899111,0.001885602785023366,0.001885602785023366
3,62,0.3925486350959755,539469.6365006403,235820.05544921756,995659.7908721992,0.001885602785023366,0.001885602785023366
3,63,0.378296182729871,540104.1971567001,266467.81142609566,1005799.3396729392,0.001885602785023366,0.001885602785023366
3,64,0.2621626148884495,547042.2598353807,367275.5258960109,1016113.6730460827,0.001885602785023366,0.001885602785023366
3,65,-0.007743555022173609,563185.0218186006,569007.0331168473,1026585.2225718938,0.002074163063525703,0.002074163063525703
4,0,0.7478451505812611,488548.72154303244,-174144.07304697298,899464.3236263724,0.0016970425065210295,0.0016970425065210295
4,1,0.5516725974728942,500494.6134192953,22218.923164298758,903142.7209951689,0.001885602785023366,0.001885602785023366
4,2,0.4732217412950668,507825.609414573,97657.90926025435,907144.0651424406,0.001885602785023366,0.001885602785023366
4,3,0.5021548843674832,509989.10764051136,69167.93967615813,911468.1772711248,0.001885602785023366,0.001885602785023366
4,4,0.5996108557186588,509346.57546648313,-28857.784311760217,916114.8106324492,0.001885602785023366,0.001885602785023366
4,5,0.7539232014835431,505070.58843699546,-190271.49494237266,921083.6409208776,0.001885602785023366,0.001885602785023366
4,6,0.9455383807729216,499367.92453391454,-393835.54959381,926374.2555074282,0.001885602785023366,0.001885602785023366
4,7,1.1458990627311234,-603646.3473731776,-610910.5280746631,931986.1414321251,-0.002168443202776871,-0.002168443202776871
4,8,1.230249944613707,-666990.9557842271,-673445.6289313138,937918.6720661303,-0.0023570034812792078,-0.0023570034812792078
4,9,1.2742551596623652,-677477.3523260229,-687444.9029428288,944171.0923429378,-0.002451283620530376,-0.002451283620530376
4,10,1.3813826036729289,-768456.1194728117,-779861.2370985337,950742.5024456821,-0.002734124038283881,-0.002734124038283881
4,11,1.2890482588814258,-639069.0107174404,-647340.2914607357,957631.8398240501,-0.0022627233420280395,-0.0022627233420280395
4,12,1.3882759832411864,-689914.2744662723,-703096.4061889611,964837.8593991672,-0.002451283620530376,-0.002451283620530376
4,13,1.2955552422008507,-542829.8217120928,-553521.1457879022,972359.1117981663,-0.0019798829242745346,-0.0019798829242745346
4,14,1.20354800990959,-419352.998533267,-426966.8480165638,980193.919441427,-0.001508482228018693,-0.001508482228018693
4,15,1.047027423921839,-278755.9679934174,-284469.09735023044,988340.350284644,-0.0010370815317628514,-0.0010370815317628514
4,16,0.5115925801510919,540090.3612744369,149732.05553581193,996796.1889945214,0.001885602785023366,0.001885602785023366
4,17,0.23831215213781043,572963.5945929762,379691.6980527174,1005558.9053105878,0.002074163063525703,0.002074163063525703
